campaign,topology,total_flow_lpm,defect_count,bead_height_mm,critical_inlet_mpa,K_ELBOW,K3_bi,K_TEE
B1,uni,2560.0,0,0.0,0.530859,0.75,1.0,1.06
B1,uni,2560.0,1,0.0,0.530859,0.75,1.0,1.06
B1,uni,2560.0,2,0.0,0.530859,0.75,1.0,1.06
B1,uni,2560.0,3,0.0,0.530859,0.75,1.0,1.06
B1,uni,2560.0,4,0.0,0.530859,0.75,1.0,1.06
B1,uni,2560.0,0,0.5,0.530859,0.75,1.0,1.06
B1,uni,2560.0,1,0.5,0.53125,0.75,1.0,1.06
B1,uni,2560.0,2,0.5,0.531641,0.75,1.0,1.06
B1,uni,2560.0,3,0.5,0.532031,0.75,1.0,1.06
B1,uni,2560.0,4,0.5,0.532813,0.75,1.0,1.06
B1,uni,2560.0,0,1.0,0.530859,0.75,1.0,1.06
B1,uni,2560.0,1,1.0,0.532031,0.75,1.0,1.06
B1,uni,2560.0,2,1.0,0.532813,0.75,1.0,1.06
B1,uni,2560.0,3,1.0,0.533203,0.75,1.0,1.06
B1,uni,2560.0,4,1.0,0.534766,0.75,1.0,1.06
B1,uni,2560.0,0,1.5,0.530859,0.75,1.0,1.06
B1,uni,2560.0,1,1.5,0.532422,0.75,1.0,1.06
B1,uni,2560.0,2,1.5,0.533594,0.75,1.0,1.06
B1,uni,2560.0,3,1.5,0.534766,0.75,1.0,1.06
B1,uni,2560.0,4,1.5,0.536719,0.75,1.0,1.06
B1,uni,2560.0,0,2.0,0.530859,0.75,1.0,1.06
B1,uni,2560.0,1,2.0,0.533203,0.75,1.0,1.06
B1,uni,2560.0,2,2.0,0.534766,0.75,1.0,1.06
B1,uni,2560.0,3,2.0,0.535938,0.75,1.0,1.06
B1,uni,2560.0,4,2.0,0.539453,0.75,1.0,1.06
B1,uni,2560.0,0,2.5,0.530859,0.75,1.0,1.06
B1,uni,2560.0,1,2.5,0.533984,0.75,1.0,1.06
B1,uni,2560.0,2,2.5,0.536328,0.75,1.0,1.06
B1,uni,2560.0,3,2.5,0.537891,0.75,1.0,1.06
B1,uni,2560.0,4,2.5,0.542188,0.75,1.0,1.06
B1,uni,2560.0,0,3.0,0.530859,0.75,1.0,1.06
B1,uni,2560.0,1,3.0,0.534766,0.75,1.0,1.06
B1,uni,2560.0,2,3.0,0.5375,0.75,1.0,1.06
B1,uni,2560.0,3,3.0,0.539844,0.75,1.0,1.06
B1,uni,2560.0,4,3.0,0.545313,0.75,1.0,1.06
B1,bi,2560.0,0,0.0,0.539063,0.75,1.0,1.06
B1,bi,2560.0,1,0.0,0.539063,0.75,1.0,1.06
B1,bi,2560.0,2,0.0,0.539063,0.75,1.0,1.06
B1,bi,2560.0,3,0.0,0.539063,0.75,1.0,1.06
B1,bi,2560.0,4,0.0,0.539063,0.75,1.0,1.06
B1,bi,2560.0,0,0.5,0.539063,0.75,1.0,1.06
B1,bi,2560.0,1,0.5,0.539453,0.75,1.0,1.06
B1,bi,2560.0,2,0.5,0.539844,0.75,1.0,1.06
B1,bi,2560.0,3,0.5,0.539844,0.75,1.0,1.06
B1,bi,2560.0,4,0.5,0.540625,0.75,1.0,1.06
B1,bi,2560.0,0,1.0,0.539063,0.75,1.0,1.06
B1,bi,2560.0,1,1.0,0.539844,0.75,1.0,1.06
B1,bi,2560.0,2,1.0,0.540625,0.75,1.0,1.06
B1,bi,2560.0,3,1.0,0.541406,0.75,1.0,1.06
B1,bi,2560.0,4,1.0,0.542578,0.75,1.0,1.06
B1,bi,2560.0,0,1.5,0.539063,0.75,1.0,1.06
B1,bi,2560.0,1,1.5,0.540625,0.75,1.0,1.06
B1,bi,2560.0,2,1.5,0.541797,0.75,1.0,1.06
B1,bi,2560.0,3,1.5,0.542578,0.75,1.0,1.06
B1,bi,2560.0,4,1.5,0.544922,0.75,1.0,1.06
B1,bi,2560.0,0,2.0,0.539063,0.75,1.0,1.06
B1,bi,2560.0,1,2.0,0.541016,0.75,1.0,1.06
B1,bi,2560.0,2,2.0,0.542969,0.75,1.0,1.06
B1,bi,2560.0,3,2.0,0.544141,0.75,1.0,1.06
B1,bi,2560.0,4,2.0,0.547266,0.75,1.0,1.06
B1,bi,2560.0,0,2.5,0.539063,0.75,1.0,1.06
B1,bi,2560.0,1,2.5,0.541797,0.75,1.0,1.06
B1,bi,2560.0,2,2.5,0.544141,0.75,1.0,1.06
B1,bi,2560.0,3,2.5,0.545703,0.75,1.0,1.06
B1,bi,2560.0,4,2.5,0.550391,0.75,1.0,1.06
B1,bi,2560.0,0,3.0,0.539063,0.75,1.0,1.06
B1,bi,2560.0,1,3.0,0.542578,0.75,1.0,1.06
B1,bi,2560.0,2,3.0,0.545703,0.75,1.0,1.06
B1,bi,2560.0,3,3.0,0.547656,0.75,1.0,1.06
B1,bi,2560.0,4,3.0,0.553516,0.75,1.0,1.06
